Year	CPS_R-FDR_longcalib	PCR_R-FDR_longcalib	M08_R-FDR_longcalib	PAI_R-FDR_longcalib	OIE_R-FDR_longcalib	BHM_R-FDR_longcalib	LMR_R-FDR_longcalib
1564	-0.1218	-0.1709	-0.141	-0.0854	-0.2852	-0.4606	-0.1588
1565	-0.1258	-0.1479	-0.1617	-0.0713	-0.291	-0.5152	-0.1155
1566	-0.2333	-0.2379	-0.1679	-0.1303	-0.309	-0.5317	-0.187
1567	-0.2513	-0.2769	-0.2712	-0.2855	-0.3516	-0.63	-0.1965
1568	-0.2168	-0.2434	-0.2222	-0.2398	-0.3668	-0.5347	-0.2197
1569	-0.1828	-0.2149	-0.2341	-0.1939	-0.2756	-0.5139	-0.1992
1570	-0.2078	-0.2519	-0.2994	-0.2122	-0.369	-0.586	-0.1951
1571	-0.3023	-0.3359	-0.2588	-0.3822	-0.3487	-0.6424	-0.3006
1572	-0.3218	-0.3674	-0.2951	-0.3719	-0.356	-0.6451	-0.2964
1573	-0.2948	-0.3294	-0.3417	-0.3975	-0.3333	-0.7301	-0.2441
1574	-0.3003	-0.3279	-0.3111	-0.3183	-0.4231	-0.6129	-0.2271
1575	-0.1988	-0.2109	-0.2534	-0.1832	-0.3232	-0.5487	-0.1228
1576	-0.2113	-0.2139	-0.2992	-0.2205	-0.3465	-0.5383	-0.1915
1577	-0.2883	-0.2944	-0.2781	-0.3371	-0.3379	-0.5522	-0.234
1578	-0.3573	-0.3969	-0.3171	-0.4568	-0.4784	-0.6955	-0.2935
1579	-0.3938	-0.4409	-0.3769	-0.4866	-0.4819	-0.6728	-0.3699
1580	-0.4013	-0.4219	-0.3642	-0.4364	-0.4365	-0.6771	-0.3179
1581	-0.3553	-0.3759	-0.2751	-0.4229	-0.3949	-0.6472	-0.3231
1582	-0.2773	-0.2889	-0.304	-0.3829	-0.3789	-0.6163	-0.2093
1583	-0.2723	-0.2979	-0.2946	-0.2682	-0.3722	-0.5649	-0.2161
1584	-0.3103	-0.3459	-0.3096	-0.4277	-0.4819	-0.636	-0.2626
1585	-0.3423	-0.3739	-0.3809	-0.4367	-0.4708	-0.5874	-0.323
1586	-0.3273	-0.3819	-0.3406	-0.4166	-0.5096	-0.5853	-0.3163
1587	-0.4008	-0.4244	-0.3742	-0.4888	-0.4395	-0.6408	-0.3797
1588	-0.3198	-0.3754	-0.231	-0.3699	-0.4213	-0.6154	-0.3184
1589	-0.3553	-0.4039	-0.3031	-0.4898	-0.4513	-0.623	-0.302
1590	-0.3433	-0.3654	-0.3122	-0.4255	-0.4395	-0.5534	-0.2602
1591	-0.3583	-0.4004	-0.2694	-0.4175	-0.5085	-0.6346	-0.2453
1592	-0.3043	-0.3419	-0.29	-0.3946	-0.4377	-0.6339	-0.2743
1593	-0.3963	-0.4469	-0.3294	-0.4866	-0.5095	-0.6614	-0.3383
1594	-0.3163	-0.3569	-0.3171	-0.3404	-0.3596	-0.6378	-0.2572
1595	-0.3143	-0.3419	-0.3874	-0.4017	-0.4185	-0.6295	-0.2953
1596	-0.3418	-0.3869	-0.3949	-0.466	-0.4069	-0.7112	-0.353
1597	-0.3328	-0.3534	-0.366	-0.4574	-0.4996	-0.7004	-0.2919
1598	-0.2923	-0.3394	-0.3266	-0.4098	-0.4503	-0.6125	-0.2725
1599	-0.3553	-0.3954	-0.3718	-0.4353	-0.4337	-0.6611	-0.3441
1600	-0.3293	-0.3774	-0.4097	-0.3756	-0.4055	-0.7436	-0.3231
1601	-0.6038	-0.6639	-0.5283	-0.7646	-0.6112	-0.8731	-0.5809
1602	-0.4583	-0.5129	-0.4572	-0.6342	-0.5367	-0.7796	-0.364
1603	-0.4153	-0.4269	-0.4545	-0.4625	-0.5276	-0.7523	-0.311
1604	-0.4358	-0.4514	-0.335	-0.4959	-0.4624	-0.6802	-0.3276
1605	-0.4638	-0.4939	-0.4056	-0.6167	-0.5403	-0.7606	-0.3217
1606	-0.3978	-0.4464	-0.4256	-0.6681	-0.5367	-0.7472	-0.3596
1607	-0.3853	-0.4139	-0.3819	-0.5541	-0.5027	-0.8108	-0.234
1608	-0.4028	-0.4249	-0.3422	-0.5395	-0.5209	-0.8041	-0.3383
1609	-0.3698	-0.3944	-0.3587	-0.5754	-0.4531	-0.776	-0.3705
1610	-0.3323	-0.3629	-0.2906	-0.5063	-0.4863	-0.7406	-0.2656
1611	-0.2853	-0.2929	-0.2847	-0.3841	-0.3208	-0.7257	-0.2515
1612	-0.2833	-0.3069	-0.3239	-0.5052	-0.3388	-0.7813	-0.3174
1613	-0.2653	-0.3129	-0.3086	-0.4053	-0.3463	-0.7107	-0.2451
1614	-0.2803	-0.3119	-0.3977	-0.4253	-0.327	-0.7365	-0.2596
1615	-0.3583	-0.3809	-0.3632	-0.4813	-0.4003	-0.6875	-0.2861
1616	-0.2538	-0.2829	-0.3323	-0.2973	-0.2944	-0.6692	-0.2116
1617	-0.2323	-0.2924	-0.333	-0.3411	-0.3477	-0.6983	-0.2288
1618	-0.3553	-0.3939	-0.4426	-0.4623	-0.3477	-0.7425	-0.2787
1619	-0.3078	-0.3214	-0.3595	-0.3878	-0.4117	-0.6336	-0.2428
1620	-0.3273	-0.3759	-0.4091	-0.4896	-0.4057	-0.652	-0.2989
1621	-0.3323	-0.3884	-0.4631	-0.4812	-0.4616	-0.7242	-0.3007
1622	-0.3663	-0.3889	-0.3952	-0.4767	-0.3932	-0.699	-0.2707
1623	-0.4013	-0.4429	-0.4546	-0.5097	-0.5122	-0.7084	-0.343
1624	-0.4238	-0.4434	-0.4876	-0.5695	-0.5222	-0.7172	-0.3917
1625	-0.3988	-0.4529	-0.4652	-0.5756	-0.5145	-0.7141	-0.3796
1626	-0.3783	-0.4089	-0.4017	-0.4951	-0.4634	-0.7048	-0.3912
1627	-0.4013	-0.4344	-0.3861	-0.4809	-0.5205	-0.6642	-0.3819
1628	-0.3348	-0.3479	-0.3413	-0.4523	-0.4352	-0.6415	-0.307
1629	-0.2468	-0.2799	-0.3452	-0.3321	-0.3835	-0.53	-0.2824
1630	-0.3243	-0.3494	-0.4395	-0.3655	-0.4227	-0.6316	-0.3052
1631	-0.3523	-0.3849	-0.3443	-0.4951	-0.4059	-0.5898	-0.3526
1632	-0.2773	-0.2989	-0.3868	-0.4197	-0.3726	-0.6816	-0.2505
1633	-0.3373	-0.3629	-0.3549	-0.5342	-0.3433	-0.6888	-0.2791
1634	-0.2133	-0.2399	-0.2558	-0.2996	-0.2735	-0.5836	-0.214
1635	-0.2528	-0.2429	-0.3142	-0.425	-0.3776	-0.6127	-0.232
1636	-0.2373	-0.2479	-0.2724	-0.2714	-0.3523	-0.5764	-0.2478
1637	-0.2413	-0.2569	-0.3733	-0.3957	-0.3796	-0.5549	-0.2161
1638	-0.2813	-0.2769	-0.374	-0.4102	-0.3656	-0.5242	-0.2683
1639	-0.3183	-0.3419	-0.3647	-0.4553	-0.4092	-0.7589	-0.3239
1640	-0.2238	-0.2549	-0.3553	-0.3692	-0.3521	-0.6562	-0.2572
1641	-0.4953	-0.5149	-0.4959	-0.6847	-0.4734	-0.7522	-0.5109
1642	-0.4373	-0.4589	-0.4686	-0.6185	-0.4929	-0.6145	-0.4379
1643	-0.4643	-0.4774	-0.4869	-0.6525	-0.5116	-0.6989	-0.4601
1644	-0.4383	-0.4529	-0.4795	-0.5767	-0.4661	-0.7014	-0.4151
1645	-0.4193	-0.4459	-0.4696	-0.54	-0.4564	-0.7843	-0.3577
1646	-0.4223	-0.4429	-0.5147	-0.583	-0.4545	-0.7898	-0.3392
1647	-0.3933	-0.4099	-0.4735	-0.577	-0.4658	-0.8165	-0.3252
1648	-0.3198	-0.3539	-0.4341	-0.4875	-0.4493	-0.7734	-0.3396
1649	-0.2608	-0.2984	-0.4306	-0.4338	-0.3943	-0.7863	-0.3168
1650	-0.3483	-0.3434	-0.3495	-0.46	-0.4333	-0.786	-0.2888
1651	-0.2433	-0.2609	-0.3486	-0.3882	-0.3501	-0.6979	-0.2263
1652	-0.3933	-0.4294	-0.3848	-0.4936	-0.4879	-0.6851	-0.3258
1653	-0.3608	-0.3459	-0.3344	-0.5362	-0.4175	-0.6335	-0.2759
1654	-0.3473	-0.3549	-0.2811	-0.4381	-0.4555	-0.6609	-0.333
1655	-0.2823	-0.2729	-0.2517	-0.3685	-0.3883	-0.4999	-0.2527
1656	-0.2823	-0.2854	-0.2168	-0.2975	-0.3796	-0.481	-0.2291
1657	-0.2388	-0.2209	-0.2055	-0.2754	-0.2925	-0.5122	-0.1998
1658	-0.2848	-0.2899	-0.1711	-0.3104	-0.4101	-0.5617	-0.227
1659	-0.2773	-0.2919	-0.1832	-0.3463	-0.3829	-0.5956	-0.2344
1660	-0.2463	-0.2599	-0.2188	-0.2643	-0.3542	-0.6083	-0.2125
1661	-0.2233	-0.2359	-0.2326	-0.2852	-0.3867	-0.5997	-0.177
1662	-0.3213	-0.3019	-0.2225	-0.3776	-0.4028	-0.6275	-0.2418
1663	-0.3858	-0.4154	-0.2977	-0.4736	-0.5267	-0.8016	-0.3323
1664	-0.3373	-0.3654	-0.2856	-0.2879	-0.4564	-0.6416	-0.2507
1665	-0.3858	-0.4134	-0.2778	-0.3932	-0.5036	-0.6501	-0.289
1666	-0.3983	-0.4109	-0.3389	-0.4699	-0.4901	-0.6082	-0.3064
1667	-0.3923	-0.3824	-0.3865	-0.5002	-0.5001	-0.63	-0.2874
1668	-0.3988	-0.3914	-0.3394	-0.6105	-0.4367	-0.7118	-0.3194
1669	-0.3963	-0.3759	-0.3658	-0.5555	-0.4495	-0.79	-0.3556
1670	-0.4308	-0.4409	-0.3941	-0.6257	-0.4913	-0.812	-0.3782
1671	-0.3258	-0.3429	-0.3529	-0.5018	-0.4233	-0.6621	-0.2838
1672	-0.3423	-0.3589	-0.4754	-0.5394	-0.4302	-0.7316	-0.2932
1673	-0.3998	-0.4019	-0.4764	-0.561	-0.4797	-0.672	-0.3467
1674	-0.3873	-0.3809	-0.5043	-0.5408	-0.4563	-0.7162	-0.3137
1675	-0.3833	-0.4059	-0.4846	-0.5157	-0.4941	-0.7747	-0.353
1676	-0.3683	-0.3529	-0.4798	-0.5289	-0.5067	-0.6811	-0.3504
1677	-0.3993	-0.4134	-0.4687	-0.6096	-0.5419	-0.674	-0.3455
1678	-0.3583	-0.3784	-0.4818	-0.6021	-0.4924	-0.7429	-0.369
1679	-0.3763	-0.4004	-0.5245	-0.5965	-0.4931	-0.7508	-0.3201
1680	-0.4388	-0.4289	-0.5039	-0.6715	-0.4813	-0.7511	-0.3667
1681	-0.3748	-0.3624	-0.4897	-0.5439	-0.4887	-0.7272	-0.2899
1682	-0.3028	-0.2864	-0.4462	-0.4935	-0.4006	-0.6559	-0.2817
1683	-0.2533	-0.2244	-0.3848	-0.3977	-0.3713	-0.6494	-0.2143
1684	-0.2503	-0.2484	-0.3743	-0.3431	-0.3904	-0.6696	-0.241
1685	-0.3408	-0.3519	-0.3364	-0.5288	-0.4231	-0.6755	-0.308
1686	-0.2243	-0.2209	-0.3052	-0.3659	-0.3208	-0.6028	-0.1971
1687	-0.3073	-0.2724	-0.323	-0.3397	-0.4367	-0.5802	-0.1858
1688	-0.2988	-0.2479	-0.2928	-0.3958	-0.3734	-0.5409	-0.243
1689	-0.1993	-0.2149	-0.1754	-0.2395	-0.3437	-0.5318	-0.1964
1690	-0.2373	-0.2404	-0.2687	-0.315	-0.328	-0.5323	-0.2561
1691	-0.2528	-0.2634	-0.2402	-0.3184	-0.3595	-0.6005	-0.2526
1692	-0.2693	-0.2649	-0.2346	-0.3486	-0.3461	-0.5906	-0.2556
1693	-0.2183	-0.2379	-0.2661	-0.3059	-0.3342	-0.62	-0.2165
1694	-0.2633	-0.2594	-0.2407	-0.3297	-0.3659	-0.6227	-0.252
1695	-0.3643	-0.3884	-0.3317	-0.4768	-0.4685	-0.6604	-0.375
1696	-0.3838	-0.3729	-0.3265	-0.4885	-0.4586	-0.647	-0.3508
1697	-0.3943	-0.4149	-0.3814	-0.4843	-0.5064	-0.6315	-0.3866
1698	-0.4533	-0.4679	-0.4365	-0.5813	-0.5339	-0.6282	-0.4233
1699	-0.5483	-0.5734	-0.465	-0.7828	-0.6214	-0.74	-0.4867
1700	-0.4363	-0.4634	-0.3922	-0.5679	-0.5075	-0.7464	-0.4012
1701	-0.4733	-0.4759	-0.4657	-0.6459	-0.5448	-0.6984	-0.4576
1702	-0.4758	-0.4889	-0.4437	-0.5456	-0.5052	-0.7623	-0.4709
1703	-0.3763	-0.4119	-0.3266	-0.4847	-0.4213	-0.5839	-0.3271
1704	-0.4653	-0.4619	-0.5048	-0.6145	-0.5549	-0.6345	-0.3463
1705	-0.4943	-0.4804	-0.5061	-0.6826	-0.5077	-0.6761	-0.4262
1706	-0.4753	-0.4479	-0.4707	-0.5884	-0.4786	-0.6909	-0.3584
1707	-0.3753	-0.3544	-0.4064	-0.5077	-0.4384	-0.5559	-0.3441
1708	-0.4013	-0.3729	-0.456	-0.5333	-0.4411	-0.6389	-0.3855
1709	-0.3533	-0.3434	-0.4144	-0.524	-0.4424	-0.6305	-0.3578
1710	-0.3143	-0.2729	-0.4454	-0.4306	-0.3376	-0.5821	-0.2937
1711	-0.3413	-0.3489	-0.4037	-0.4428	-0.4085	-0.5228	-0.3384
1712	-0.2843	-0.2539	-0.3466	-0.312	-0.3389	-0.4416	-0.2296
1713	-0.2743	-0.2619	-0.3725	-0.3468	-0.3494	-0.4915	-0.2697
1714	-0.3783	-0.3889	-0.4006	-0.4972	-0.4689	-0.5142	-0.3719
1715	-0.2923	-0.3254	-0.4011	-0.4249	-0.4302	-0.5323	-0.3125
1716	-0.2993	-0.3004	-0.4593	-0.4432	-0.3399	-0.5913	-0.2627
1717	-0.3373	-0.3479	-0.4782	-0.4445	-0.4445	-0.5843	-0.3004
1718	-0.3153	-0.3004	-0.3694	-0.3813	-0.3583	-0.4747	-0.26
1719	-0.3178	-0.3244	-0.3942	-0.4612	-0.3934	-0.4733	-0.321
1720	-0.2243	-0.2059	-0.3532	-0.3515	-0.2685	-0.4448	-0.2169
1721	-0.2943	-0.2719	-0.3229	-0.4133	-0.3924	-0.4716	-0.2971
1722	-0.1693	-0.1389	-0.3231	-0.2242	-0.3458	-0.4471	-0.1669
1723	-0.2688	-0.2819	-0.2827	-0.41	-0.4216	-0.4511	-0.2801
1724	-0.2133	-0.2364	-0.3602	-0.3543	-0.3717	-0.4652	-0.2351
1725	-0.2833	-0.2729	-0.3012	-0.363	-0.3728	-0.5583	-0.2726
1726	-0.2793	-0.2824	-0.3211	-0.3533	-0.2602	-0.5826	-0.2373
1727	-0.2723	-0.3019	-0.2937	-0.3443	-0.302	-0.5286	-0.2459
1728	-0.2903	-0.2894	-0.3386	-0.3027	-0.2839	-0.5447	-0.2089
1729	-0.2373	-0.2404	-0.3064	-0.2757	-0.2963	-0.5349	-0.2082
1730	-0.2838	-0.3139	-0.319	-0.2757	-0.3468	-0.4785	-0.2581
1731	-0.3428	-0.3514	-0.3783	-0.3816	-0.4072	-0.522	-0.3135
1732	-0.2913	-0.3164	-0.3126	-0.3355	-0.3191	-0.4566	-0.2742
1733	-0.3058	-0.3229	-0.3161	-0.4151	-0.3313	-0.5163	-0.2405
1734	-0.2343	-0.2489	-0.287	-0.2768	-0.305	-0.5116	-0.1874
1735	-0.3173	-0.3464	-0.2603	-0.4288	-0.3787	-0.4656	-0.2179
1736	-0.3333	-0.3809	-0.2814	-0.3826	-0.4154	-0.4879	-0.2419
1737	-0.3373	-0.3729	-0.3038	-0.3752	-0.4152	-0.5174	-0.2576
1738	-0.3433	-0.3809	-0.3421	-0.3797	-0.4389	-0.4429	-0.3252
1739	-0.2583	-0.2599	-0.3565	-0.2779	-0.3636	-0.471	-0.1828
1740	-0.3423	-0.3724	-0.4566	-0.3315	-0.4384	-0.4821	-0.3071
1741	-0.2718	-0.3024	-0.4203	-0.3324	-0.3808	-0.4832	-0.2221
1742	-0.3913	-0.4164	-0.4916	-0.5178	-0.5167	-0.6097	-0.3682
1743	-0.3058	-0.3184	-0.3695	-0.3518	-0.348	-0.4974	-0.273
1744	-0.3203	-0.3239	-0.4121	-0.4105	-0.3622	-0.5185	-0.2513
1745	-0.3653	-0.3834	-0.4062	-0.5157	-0.4739	-0.5211	-0.3351
1746	-0.3963	-0.4064	-0.3885	-0.5872	-0.4521	-0.5285	-0.3077
1747	-0.2303	-0.2259	-0.3544	-0.3347	-0.375	-0.4805	-0.1847
1748	-0.2663	-0.2399	-0.3771	-0.3268	-0.3395	-0.5505	-0.2091
1749	-0.2753	-0.2919	-0.3511	-0.4509	-0.3102	-0.5697	-0.2408
1750	-0.2803	-0.2979	-0.3163	-0.3997	-0.3375	-0.6098	-0.2715
1751	-0.3073	-0.3589	-0.3622	-0.397	-0.3456	-0.6013	-0.2729
1752	-0.2538	-0.2949	-0.3596	-0.4588	-0.2737	-0.6058	-0.2457
1753	-0.2733	-0.3129	-0.385	-0.4299	-0.2917	-0.5665	-0.2273
1754	-0.3623	-0.4014	-0.3456	-0.4201	-0.405	-0.5334	-0.2755
1755	-0.3343	-0.3709	-0.3468	-0.4482	-0.3424	-0.4539	-0.3201
1756	-0.2323	-0.2679	-0.3712	-0.2985	-0.3155	-0.3797	-0.1988
1757	-0.2258	-0.2834	-0.3492	-0.3116	-0.3244	-0.4301	-0.2134
1758	-0.3518	-0.3679	-0.3052	-0.4716	-0.4262	-0.4115	-0.3425
1759	-0.2623	-0.2659	-0.2856	-0.348	-0.2954	-0.3968	-0.2202
1760	-0.3203	-0.3049	-0.2194	-0.3187	-0.3821	-0.4294	-0.2415
1761	-0.2673	-0.2639	-0.1771	-0.3142	-0.2832	-0.3804	-0.1923
1762	-0.3078	-0.2989	-0.2746	-0.2937	-0.295	-0.4684	-0.2072
1763	-0.2433	-0.2349	-0.3352	-0.2638	-0.2614	-0.4839	-0.1595
1764	-0.3183	-0.3154	-0.2524	-0.3567	-0.364	-0.4333	-0.2378
1765	-0.2483	-0.2514	-0.2432	-0.2657	-0.3599	-0.3951	-0.2125
1766	-0.2253	-0.2214	-0.1837	-0.2786	-0.3112	-0.3818	-0.2047
1767	-0.2383	-0.2324	-0.2194	-0.3556	-0.3162	-0.4049	-0.2355
1768	-0.3653	-0.3874	-0.3101	-0.4826	-0.4279	-0.4845	-0.3571
1769	-0.2893	-0.2854	-0.271	-0.3268	-0.3599	-0.3746	-0.2672
1770	-0.2583	-0.2629	-0.2583	-0.3402	-0.333	-0.416	-0.2536
1771	-0.2988	-0.3059	-0.2557	-0.3719	-0.3283	-0.4313	-0.2041
1772	-0.3023	-0.2959	-0.35	-0.3634	-0.3742	-0.4546	-0.2637
1773	-0.2093	-0.2199	-0.2939	-0.2443	-0.2706	-0.2949	-0.2027
1774	-0.2033	-0.1969	-0.2569	-0.1625	-0.2448	-0.2813	-0.1289
1775	-0.3153	-0.3179	-0.297	-0.3159	-0.3685	-0.3404	-0.2585
1776	-0.2273	-0.2204	-0.2095	-0.2586	-0.3602	-0.2569	-0.2111
1777	-0.2073	-0.1679	-0.2187	-0.3096	-0.309	-0.248	-0.2368
1778	-0.3198	-0.3009	-0.2755	-0.4359	-0.3995	-0.2492	-0.3111
1779	-0.3443	-0.3269	-0.2651	-0.4432	-0.3924	-0.2583	-0.317
1780	-0.2703	-0.2809	-0.3605	-0.3661	-0.3582	-0.3789	-0.2424
1781	-0.2763	-0.2779	-0.3779	-0.3794	-0.3299	-0.3365	-0.2855
1782	-0.3898	-0.3459	-0.3471	-0.4244	-0.4504	-0.306	-0.3057
1783	-0.3958	-0.4204	-0.3769	-0.4808	-0.4209	-0.3478	-0.4281
1784	-0.3188	-0.2904	-0.3744	-0.3738	-0.3657	-0.3494	-0.2985
1785	-0.3243	-0.3044	-0.3036	-0.2874	-0.3419	-0.4099	-0.3092
1786	-0.2763	-0.2559	-0.3511	-0.2867	-0.2682	-0.3577	-0.2742
1787	-0.3528	-0.3369	-0.3699	-0.4538	-0.3855	-0.4743	-0.3792
1788	-0.3443	-0.3114	-0.3097	-0.3963	-0.3914	-0.3103	-0.3387
1789	-0.2733	-0.2774	-0.2327	-0.4034	-0.3677	-0.3857	-0.3346
1790	-0.3608	-0.3409	-0.4029	-0.4723	-0.4233	-0.4791	-0.3644
1791	-0.2633	-0.2364	-0.2695	-0.2623	-0.3215	-0.3108	-0.2561
1792	-0.2383	-0.1669	-0.2703	-0.2466	-0.3221	-0.3056	-0.1613
1793	-0.3013	-0.2589	-0.2063	-0.3101	-0.3469	-0.2541	-0.2518
1794	-0.2233	-0.2039	-0.2476	-0.245	-0.2917	-0.2285	-0.2471
1795	-0.2473	-0.2419	-0.2608	-0.3334	-0.3375	-0.3369	-0.266
1796	-0.2428	-0.2234	-0.2271	-0.2527	-0.2943	-0.2238	-0.2535
1797	-0.3113	-0.2874	-0.1868	-0.3644	-0.3365	-0.3652	-0.3217
1798	-0.1768	-0.1699	-0.2061	-0.1311	-0.2622	-0.2346	-0.1742
1799	-0.2703	-0.2689	-0.1935	-0.2699	-0.3093	-0.3553	-0.2444
1800	-0.2963	-0.2779	-0.2222	-0.3239	-0.3106	-0.3242	-0.2773
1801	-0.2443	-0.2024	-0.1637	-0.202	-0.2644	-0.3328	-0.2909
1802	-0.2923	-0.2654	-0.2182	-0.2095	-0.3309	-0.2496	-0.2758
1803	-0.2203	-0.1639	-0.1184	-0.119	-0.2517	-0.1957	-0.2575
1804	-0.1213	-0.0879	-0.1269	-0.1033	-0.1271	-0.2408	-0.1259
1805	-0.2203	-0.2104	-0.2226	-0.2925	-0.2431	-0.3134	-0.2852
1806	-0.2333	-0.2404	-0.2814	-0.3442	-0.2623	-0.4	-0.307
1807	-0.1833	-0.2029	-0.2924	-0.2165	-0.2507	-0.2939	-0.255
1808	-0.2098	-0.2089	-0.3341	-0.1763	-0.295	-0.3613	-0.2778
1809	-0.4033	-0.4354	-0.3951	-0.5157	-0.4555	-0.4444	-0.4328
1810	-0.4613	-0.4499	-0.4493	-0.6863	-0.4544	-0.4545	-0.5169
1811	-0.3803	-0.3459	-0.4315	-0.5001	-0.3921	-0.3693	-0.4435
1812	-0.4283	-0.4109	-0.5129	-0.5591	-0.4682	-0.3984	-0.4299
1813	-0.4013	-0.4049	-0.3868	-0.5472	-0.4408	-0.3475	-0.4885
1814	-0.4208	-0.4424	-0.5248	-0.5645	-0.4847	-0.2974	-0.4849
1815	-0.4793	-0.4719	-0.553	-0.6394	-0.5887	-0.4148	-0.5215
1816	-0.4573	-0.4569	-0.53	-0.5903	-0.5793	-0.4024	-0.5905
1817	-0.4483	-0.4199	-0.5078	-0.5572	-0.4783	-0.3973	-0.5313
1818	-0.4803	-0.4549	-0.519	-0.6248	-0.5262	-0.4589	-0.5204
1819	-0.4443	-0.4619	-0.4975	-0.5946	-0.4802	-0.4545	-0.4506
1820	-0.4393	-0.4339	-0.5205	-0.4865	-0.4726	-0.44	-0.4168
1821	-0.4723	-0.4339	-0.5576	-0.6043	-0.5412	-0.4579	-0.469
1822	-0.4168	-0.3914	-0.4391	-0.4897	-0.4284	-0.3599	-0.3616
1823	-0.3298	-0.2944	-0.3705	-0.4187	-0.3821	-0.245	-0.2915
1824	-0.3758	-0.3209	-0.3731	-0.4649	-0.3716	-0.3313	-0.3421
1825	-0.3388	-0.3039	-0.3654	-0.3782	-0.3419	-0.3207	-0.2646
1826	-0.3333	-0.3274	-0.2764	-0.3855	-0.323	-0.3711	-0.299
1827	-0.3858	-0.3834	-0.3052	-0.4625	-0.4078	-0.3639	-0.38
1828	-0.2868	-0.2829	-0.301	-0.3153	-0.2763	-0.3139	-0.2271
1829	-0.2718	-0.2719	-0.26	-0.3126	-0.2874	-0.3355	-0.2815
1830	-0.2798	-0.2824	-0.3379	-0.3952	-0.2798	-0.3649	-0.237
1831	-0.3383	-0.3204	-0.2537	-0.359	-0.3256	-0.3146	-0.3044
1832	-0.4543	-0.4079	-0.294	-0.5612	-0.5182	-0.2903	-0.473
1833	-0.4353	-0.3704	-0.2987	-0.4556	-0.4654	-0.3779	-0.4569
1834	-0.3683	-0.3504	-0.297	-0.3755	-0.398	-0.3652	-0.3667
1835	-0.5148	-0.4734	-0.3771	-0.5327	-0.532	-0.4166	-0.4819
1836	-0.5603	-0.5509	-0.4348	-0.6912	-0.6284	-0.4584	-0.5722
1837	-0.5523	-0.5129	-0.4125	-0.6478	-0.5757	-0.4644	-0.5394
1838	-0.4838	-0.4039	-0.373	-0.4974	-0.4872	-0.4096	-0.4227
1839	-0.4263	-0.3859	-0.4065	-0.4166	-0.476	-0.4755	-0.3881
1840	-0.4523	-0.4019	-0.4716	-0.4453	-0.4911	-0.4553	-0.3998
1841	-0.4188	-0.3959	-0.5381	-0.4913	-0.4724	-0.4858	-0.4311
1842	-0.4643	-0.4589	-0.5058	-0.6277	-0.4686	-0.4197	-0.4453
1843	-0.4613	-0.4704	-0.5061	-0.5971	-0.5006	-0.4618	-0.4601
1844	-0.3713	-0.3279	-0.4458	-0.4895	-0.4515	-0.3264	-0.3724
1845	-0.4203	-0.4054	-0.5045	-0.5853	-0.521	-0.3743	-0.4489
1846	-0.3033	-0.2749	-0.5066	-0.3623	-0.393	-0.3043	-0.2697
1847	-0.4243	-0.4074	-0.4839	-0.4234	-0.4907	-0.3365	-0.3929
1848	-0.3678	-0.3764	-0.5104	-0.3978	-0.4551	-0.3299	-0.3759
1849	-0.4698	-0.4769	-0.5255	-0.5805	-0.5227	-0.3357	-0.4423
1850	-0.4143	-0.3859	-0.3486	-0.5334	-0.527	-0.3125	-0.3713
1851	-0.3593	-0.3229	-0.2114	-0.4417	-0.4128	-0.3517	-0.2952
1852	-0.2733	-0.2089	-0.1626	-0.2769	-0.358	-0.2888	-0.2222
1853	-0.3193	-0.2639	-0.2752	-0.3469	-0.3646	-0.2433	-0.3198
1854	-0.3943	-0.3319	-0.1984	-0.3965	-0.4282	-0.3294	-0.3627
1855	-0.3383	-0.3074	-0.2354	-0.3617	-0.4127	-0.376	-0.3299
1856	-0.4268	-0.4119	-0.3786	-0.4838	-0.479	-0.3998	-0.377
1857	-0.3783	-0.3749	-0.4376	-0.4976	-0.4345	-0.3261	-0.4046
1858	-0.3508	-0.3309	-0.383	-0.4013	-0.4151	-0.3107	-0.3883
1859	-0.4173	-0.4299	-0.3781	-0.4691	-0.4507	-0.4143	-0.4309
1860	-0.3723	-0.3629	-0.4713	-0.3525	-0.3873	-0.2979	-0.3607
1861	-0.3393	-0.3384	-0.4393	-0.2676	-0.3453	-0.2997	-0.3147
1862	-0.4163	-0.3999	-0.4793	-0.4905	-0.4143	-0.3333	-0.3828
1863	-0.3903	-0.3729	-0.4312	-0.4088	-0.4343	-0.275	-0.298
1864	-0.4033	-0.3889	-0.3864	-0.544	-0.4332	-0.342	-0.3305
1865	-0.4093	-0.3459	-0.2784	-0.5737	-0.4161	-0.3951	-0.2801
1866	-0.4273	-0.3724	-0.2996	-0.507	-0.422	-0.3533	-0.3788
1867	-0.3883	-0.3409	-0.3531	-0.4686	-0.3816	-0.2979	-0.3755
1868	-0.3173	-0.2749	-0.1627	-0.359	-0.3438	-0.2793	-0.2893
1869	-0.3703	-0.3479	-0.2983	-0.5072	-0.4405	-0.299	-0.3346
1870	-0.3428	-0.3359	-0.3098	-0.3855	-0.3758	-0.2107	-0.2892
1871	-0.3543	-0.3409	-0.3459	-0.419	-0.3196	-0.3744	-0.2933
1872	-0.3418	-0.3049	-0.2047	-0.3509	-0.3155	-0.2862	-0.2746
1873	-0.3443	-0.2909	-0.2987	-0.3549	-0.3272	-0.2453	-0.2959
1874	-0.3613	-0.3464	-0.3919	-0.3824	-0.3249	-0.2429	-0.3328
